file_name,group_name,line_start,line_end
C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,"PROJ",0,4

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,"LOCA",6,14

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,"SAMP",16,31

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,"GCHM",33,76

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,"ABBR",78,89

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,"UNIT",91,101

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,"TYPE",103,114

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,"PROJ",0,4

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,"LOCA",6,14

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,"SAMP",16,25

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,"GCHM",27,46

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,"ABBR",48,59

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,"UNIT",61,71

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,"TYPE",73,84

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25179_DETS_01122021_V4_PFAcgwN.AGS,"PROJ",0,4

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25179_DETS_01122021_V4_PFAcgwN.AGS,"LOCA",6,10

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25179_DETS_01122021_V4_PFAcgwN.AGS,"SAMP",12,20

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25179_DETS_01122021_V4_PFAcgwN.AGS,"GCHM",22,45

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25179_DETS_01122021_V4_PFAcgwN.AGS,"ABBR",47,58

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25179_DETS_01122021_V4_PFAcgwN.AGS,"UNIT",60,70

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25179_DETS_01122021_V4_PFAcgwN.AGS,"TYPE",72,83

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-26216_DETS_16122021_V4_KYgZlm2.AGS,"PROJ",0,4

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-26216_DETS_16122021_V4_KYgZlm2.AGS,"LOCA",6,11

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-26216_DETS_16122021_V4_KYgZlm2.AGS,"SAMP",13,28

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-26216_DETS_16122021_V4_KYgZlm2.AGS,"GCHM",30,81

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-26216_DETS_16122021_V4_KYgZlm2.AGS,"ABBR",83,94

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-26216_DETS_16122021_V4_KYgZlm2.AGS,"UNIT",96,106

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-26216_DETS_16122021_V4_KYgZlm2.AGS,"TYPE",108,119

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\D1043-21-23122021_wiKf7vC.ags,"PROJ",0,4

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\D1043-21-23122021_wiKf7vC.ags,"ABBR",6,27

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\D1043-21-23122021_wiKf7vC.ags,"TRAN",29,33

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\D1043-21-23122021_wiKf7vC.ags,"TYPE",35,56

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\D1043-21-23122021_wiKf7vC.ags,"UNIT",58,77

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\D1043-21-23122021_wiKf7vC.ags,"CONG",79,86

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\D1043-21-23122021_wiKf7vC.ags,"CONS",88,115

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\D1043-21-23122021_wiKf7vC.ags,"GRAG",117,171

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\D1043-21-23122021_wiKf7vC.ags,"GRAT",173,1535

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\D1043-21-23122021_wiKf7vC.ags,"LBSG",1537,1546

