file_name,group_name,pointid,count
C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,LOCA,"BH-3"
,1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,LOCA,"BH10D"
,1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,LOCA,"BH3D"
,1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,LOCA,"BH6D"
,1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,LOCA,"BH7D"
,1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,SAMP,"BH-3",1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,SAMP,"BH10D",6

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,SAMP,"BH3D",1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,SAMP,"BH6D",2

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,SAMP,"BH7D",2

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,GCHM,"BH10D",20

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,GCHM,"BH3D",4

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,GCHM,"BH-3",4

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,GCHM,"BH6D",6

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-24889_DETS_29112021_V4_uSOatXH.AGS,GCHM,"BH7D",6

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,LOCA,"DCP10"
,1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,LOCA,"DCP1"
,1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,LOCA,"DCP7"
,1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,LOCA,"DCP8"
,1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,LOCA,"DCP9"
,1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,SAMP,"DCP1",1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,SAMP,"DCP10",1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,SAMP,"DCP7",2

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,SAMP,"DCP8",1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,SAMP,"DCP9",1

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,GCHM,"DCP8",4

C:\Users\thomsonsj\Documents\Visual Studio Code\ge_py\ags\documents\2022\02\15\21-25178_DETS_01122021_V4_urp7YSj.AGS,GCHM,"DCP7",6

