file_name,group_name,line_start,line_end
21-24889_DETS_29112021_V4_t3ASehC.AGS,"PROJ",0,4

21-24889_DETS_29112021_V4_t3ASehC.AGS,"LOCA",6,14

21-24889_DETS_29112021_V4_t3ASehC.AGS,"SAMP",16,31

21-24889_DETS_29112021_V4_t3ASehC.AGS,"GCHM",33,76

21-24889_DETS_29112021_V4_t3ASehC.AGS,"ABBR",78,89

21-24889_DETS_29112021_V4_t3ASehC.AGS,"UNIT",91,101

21-24889_DETS_29112021_V4_t3ASehC.AGS,"TYPE",103,114

21-25178_DETS_01122021_V4_I8NzP2r.AGS,"PROJ",0,4

21-25178_DETS_01122021_V4_I8NzP2r.AGS,"LOCA",6,14

21-25178_DETS_01122021_V4_I8NzP2r.AGS,"SAMP",16,25

21-25178_DETS_01122021_V4_I8NzP2r.AGS,"GCHM",27,46

21-25178_DETS_01122021_V4_I8NzP2r.AGS,"ABBR",48,59

21-25178_DETS_01122021_V4_I8NzP2r.AGS,"UNIT",61,71

21-25178_DETS_01122021_V4_I8NzP2r.AGS,"TYPE",73,84

21-25179_DETS_01122021_V4_cVCVq2S.AGS,"PROJ",0,4

21-25179_DETS_01122021_V4_cVCVq2S.AGS,"LOCA",6,10

21-25179_DETS_01122021_V4_cVCVq2S.AGS,"SAMP",12,20

21-25179_DETS_01122021_V4_cVCVq2S.AGS,"GCHM",22,45

21-25179_DETS_01122021_V4_cVCVq2S.AGS,"ABBR",47,58

21-25179_DETS_01122021_V4_cVCVq2S.AGS,"UNIT",60,70

21-25179_DETS_01122021_V4_cVCVq2S.AGS,"TYPE",72,83

21-26216_DETS_16122021_V4_HniG089.AGS,"PROJ",0,4

21-26216_DETS_16122021_V4_HniG089.AGS,"LOCA",6,11

21-26216_DETS_16122021_V4_HniG089.AGS,"SAMP",13,28

21-26216_DETS_16122021_V4_HniG089.AGS,"GCHM",30,81

21-26216_DETS_16122021_V4_HniG089.AGS,"ABBR",83,94

21-26216_DETS_16122021_V4_HniG089.AGS,"UNIT",96,106

21-26216_DETS_16122021_V4_HniG089.AGS,"TYPE",108,119

D1043-21-23122021_rsmXCeI.ags,"PROJ",0,4

D1043-21-23122021_rsmXCeI.ags,"ABBR",6,27

D1043-21-23122021_rsmXCeI.ags,"TRAN",29,33

D1043-21-23122021_rsmXCeI.ags,"TYPE",35,56

D1043-21-23122021_rsmXCeI.ags,"UNIT",58,77

D1043-21-23122021_rsmXCeI.ags,"CONG",79,86

D1043-21-23122021_rsmXCeI.ags,"CONS",88,115

D1043-21-23122021_rsmXCeI.ags,"GRAG",117,171

D1043-21-23122021_rsmXCeI.ags,"GRAT",173,1535

D1043-21-23122021_rsmXCeI.ags,"LBSG",1537,1546

D1043-21-23122021_rsmXCeI.ags,"LBST",1548,1971

D1043-21-23122021_rsmXCeI.ags,"LLPL",1973,2025

D1043-21-23122021_rsmXCeI.ags,"LNMC",2027,2079

D1043-21-23122021_rsmXCeI.ags,"LOCA",2081,2096

D1043-21-23122021_rsmXCeI.ags,"PTST",2098,2103

D1043-21-23122021_rsmXCeI.ags,"SAMP",2105,2311

D1043-21-23122021_rsmXCeI.ags,"TREG",2313,2320

D1043-21-23122021_rsmXCeI.ags,"TRET",2322,2329

D1043-21-23122021_rsmXCeI.ags,"TRIG",2331,2380

D1043-21-23122021_rsmXCeI.ags,"TRIT",2382,2431

