file_name,group_name,line_start,line_end
21-24889_DETS_29112021_V4_OZwE8xS.AGS,"PROJ",0,4

21-24889_DETS_29112021_V4_OZwE8xS.AGS,"LOCA",6,14

21-24889_DETS_29112021_V4_OZwE8xS.AGS,"SAMP",16,31

21-24889_DETS_29112021_V4_OZwE8xS.AGS,"GCHM",33,76

21-24889_DETS_29112021_V4_OZwE8xS.AGS,"ABBR",78,89

21-24889_DETS_29112021_V4_OZwE8xS.AGS,"UNIT",91,101

21-24889_DETS_29112021_V4_OZwE8xS.AGS,"TYPE",103,114

21-25178_DETS_01122021_V4_RXs2wl2.AGS,"PROJ",0,4

21-25178_DETS_01122021_V4_RXs2wl2.AGS,"LOCA",6,14

21-25178_DETS_01122021_V4_RXs2wl2.AGS,"SAMP",16,25

21-25178_DETS_01122021_V4_RXs2wl2.AGS,"GCHM",27,46

21-25178_DETS_01122021_V4_RXs2wl2.AGS,"ABBR",48,59

21-25178_DETS_01122021_V4_RXs2wl2.AGS,"UNIT",61,71

21-25178_DETS_01122021_V4_RXs2wl2.AGS,"TYPE",73,84

21-25179_DETS_01122021_V4_1o6mEgK.AGS,"PROJ",0,4

21-25179_DETS_01122021_V4_1o6mEgK.AGS,"LOCA",6,10

21-25179_DETS_01122021_V4_1o6mEgK.AGS,"SAMP",12,20

21-25179_DETS_01122021_V4_1o6mEgK.AGS,"GCHM",22,45

21-25179_DETS_01122021_V4_1o6mEgK.AGS,"ABBR",47,58

21-25179_DETS_01122021_V4_1o6mEgK.AGS,"UNIT",60,70

21-25179_DETS_01122021_V4_1o6mEgK.AGS,"TYPE",72,83

21-26216_DETS_16122021_V4_vh55U7K.AGS,"PROJ",0,4

21-26216_DETS_16122021_V4_vh55U7K.AGS,"LOCA",6,11

21-26216_DETS_16122021_V4_vh55U7K.AGS,"SAMP",13,28

21-26216_DETS_16122021_V4_vh55U7K.AGS,"GCHM",30,81

21-26216_DETS_16122021_V4_vh55U7K.AGS,"ABBR",83,94

21-26216_DETS_16122021_V4_vh55U7K.AGS,"UNIT",96,106

21-26216_DETS_16122021_V4_vh55U7K.AGS,"TYPE",108,119

D1043-21-23122021_4VHY31U.ags,"PROJ",0,4

D1043-21-23122021_4VHY31U.ags,"ABBR",6,27

D1043-21-23122021_4VHY31U.ags,"TRAN",29,33

D1043-21-23122021_4VHY31U.ags,"TYPE",35,56

D1043-21-23122021_4VHY31U.ags,"UNIT",58,77

D1043-21-23122021_4VHY31U.ags,"CONG",79,86

D1043-21-23122021_4VHY31U.ags,"CONS",88,115

D1043-21-23122021_4VHY31U.ags,"GRAG",117,171

D1043-21-23122021_4VHY31U.ags,"GRAT",173,1535

D1043-21-23122021_4VHY31U.ags,"LBSG",1537,1546

D1043-21-23122021_4VHY31U.ags,"LBST",1548,1971

D1043-21-23122021_4VHY31U.ags,"LLPL",1973,2025

D1043-21-23122021_4VHY31U.ags,"LNMC",2027,2079

D1043-21-23122021_4VHY31U.ags,"LOCA",2081,2096

D1043-21-23122021_4VHY31U.ags,"PTST",2098,2103

D1043-21-23122021_4VHY31U.ags,"SAMP",2105,2311

D1043-21-23122021_4VHY31U.ags,"TREG",2313,2320

D1043-21-23122021_4VHY31U.ags,"TRET",2322,2329

D1043-21-23122021_4VHY31U.ags,"TRIG",2331,2380

D1043-21-23122021_4VHY31U.ags,"TRIT",2382,2431

