file_name,group_name,line_start,line_end
21-24889_DETS_29112021_V4_TSJaUkE.AGS,"PROJ",0,4

21-24889_DETS_29112021_V4_TSJaUkE.AGS,"LOCA",6,14

21-24889_DETS_29112021_V4_TSJaUkE.AGS,"SAMP",16,31

21-24889_DETS_29112021_V4_TSJaUkE.AGS,"GCHM",33,76

21-24889_DETS_29112021_V4_TSJaUkE.AGS,"ABBR",78,89

21-24889_DETS_29112021_V4_TSJaUkE.AGS,"UNIT",91,101

21-24889_DETS_29112021_V4_TSJaUkE.AGS,"TYPE",103,114

21-25178_DETS_01122021_V4_UcdVDOA.AGS,"PROJ",0,4

21-25178_DETS_01122021_V4_UcdVDOA.AGS,"LOCA",6,14

21-25178_DETS_01122021_V4_UcdVDOA.AGS,"SAMP",16,25

21-25178_DETS_01122021_V4_UcdVDOA.AGS,"GCHM",27,46

21-25178_DETS_01122021_V4_UcdVDOA.AGS,"ABBR",48,59

21-25178_DETS_01122021_V4_UcdVDOA.AGS,"UNIT",61,71

21-25178_DETS_01122021_V4_UcdVDOA.AGS,"TYPE",73,84

21-25179_DETS_01122021_V4_nzKSwZz.AGS,"PROJ",0,4

21-25179_DETS_01122021_V4_nzKSwZz.AGS,"LOCA",6,10

21-25179_DETS_01122021_V4_nzKSwZz.AGS,"SAMP",12,20

21-25179_DETS_01122021_V4_nzKSwZz.AGS,"GCHM",22,45

21-25179_DETS_01122021_V4_nzKSwZz.AGS,"ABBR",47,58

21-25179_DETS_01122021_V4_nzKSwZz.AGS,"UNIT",60,70

21-25179_DETS_01122021_V4_nzKSwZz.AGS,"TYPE",72,83

21-26216_DETS_16122021_V4_wGgmFGe.AGS,"PROJ",0,4

21-26216_DETS_16122021_V4_wGgmFGe.AGS,"LOCA",6,11

21-26216_DETS_16122021_V4_wGgmFGe.AGS,"SAMP",13,28

21-26216_DETS_16122021_V4_wGgmFGe.AGS,"GCHM",30,81

21-26216_DETS_16122021_V4_wGgmFGe.AGS,"ABBR",83,94

21-26216_DETS_16122021_V4_wGgmFGe.AGS,"UNIT",96,106

21-26216_DETS_16122021_V4_wGgmFGe.AGS,"TYPE",108,119

