file_name,group_name,line_start,line_end
21-24889_DETS_29112021_V4_Ir5g0pL.AGS,"PROJ",0,4

21-24889_DETS_29112021_V4_Ir5g0pL.AGS,"LOCA",6,14

21-24889_DETS_29112021_V4_Ir5g0pL.AGS,"SAMP",16,31

21-24889_DETS_29112021_V4_Ir5g0pL.AGS,"GCHM",33,76

21-24889_DETS_29112021_V4_Ir5g0pL.AGS,"ABBR",78,89

21-24889_DETS_29112021_V4_Ir5g0pL.AGS,"UNIT",91,101

21-24889_DETS_29112021_V4_Ir5g0pL.AGS,"TYPE",103,114

21-25178_DETS_01122021_V4_krnwL9U.AGS,"PROJ",0,4

21-25178_DETS_01122021_V4_krnwL9U.AGS,"LOCA",6,14

21-25178_DETS_01122021_V4_krnwL9U.AGS,"SAMP",16,25

21-25178_DETS_01122021_V4_krnwL9U.AGS,"GCHM",27,46

21-25178_DETS_01122021_V4_krnwL9U.AGS,"ABBR",48,59

21-25178_DETS_01122021_V4_krnwL9U.AGS,"UNIT",61,71

21-25178_DETS_01122021_V4_krnwL9U.AGS,"TYPE",73,84

21-25179_DETS_01122021_V4_sqLKg3o.AGS,"PROJ",0,4

21-25179_DETS_01122021_V4_sqLKg3o.AGS,"LOCA",6,10

21-25179_DETS_01122021_V4_sqLKg3o.AGS,"SAMP",12,20

21-25179_DETS_01122021_V4_sqLKg3o.AGS,"GCHM",22,45

21-25179_DETS_01122021_V4_sqLKg3o.AGS,"ABBR",47,58

21-25179_DETS_01122021_V4_sqLKg3o.AGS,"UNIT",60,70

21-25179_DETS_01122021_V4_sqLKg3o.AGS,"TYPE",72,83

21-26216_DETS_16122021_V4_dMXFgYP.AGS,"PROJ",0,4

21-26216_DETS_16122021_V4_dMXFgYP.AGS,"LOCA",6,11

21-26216_DETS_16122021_V4_dMXFgYP.AGS,"SAMP",13,28

21-26216_DETS_16122021_V4_dMXFgYP.AGS,"GCHM",30,81

21-26216_DETS_16122021_V4_dMXFgYP.AGS,"ABBR",83,94

21-26216_DETS_16122021_V4_dMXFgYP.AGS,"UNIT",96,106

21-26216_DETS_16122021_V4_dMXFgYP.AGS,"TYPE",108,119

