file_name,group_name,line_start,line_end
21-24889_DETS_29112021_V4_YknorNv.AGS,"PROJ",0,4

21-24889_DETS_29112021_V4_YknorNv.AGS,"LOCA",6,14

21-24889_DETS_29112021_V4_YknorNv.AGS,"SAMP",16,31

21-24889_DETS_29112021_V4_YknorNv.AGS,"GCHM",33,76

21-24889_DETS_29112021_V4_YknorNv.AGS,"ABBR",78,89

21-24889_DETS_29112021_V4_YknorNv.AGS,"UNIT",91,101

21-24889_DETS_29112021_V4_YknorNv.AGS,"TYPE",103,114

21-25178_DETS_01122021_V4_WG3TDHS.AGS,"PROJ",0,4

21-25178_DETS_01122021_V4_WG3TDHS.AGS,"LOCA",6,14

21-25178_DETS_01122021_V4_WG3TDHS.AGS,"SAMP",16,25

21-25178_DETS_01122021_V4_WG3TDHS.AGS,"GCHM",27,46

21-25178_DETS_01122021_V4_WG3TDHS.AGS,"ABBR",48,59

21-25178_DETS_01122021_V4_WG3TDHS.AGS,"UNIT",61,71

21-25178_DETS_01122021_V4_WG3TDHS.AGS,"TYPE",73,84

21-25179_DETS_01122021_V4_dWKGy1o.AGS,"PROJ",0,4

21-25179_DETS_01122021_V4_dWKGy1o.AGS,"LOCA",6,10

21-25179_DETS_01122021_V4_dWKGy1o.AGS,"SAMP",12,20

21-25179_DETS_01122021_V4_dWKGy1o.AGS,"GCHM",22,45

21-25179_DETS_01122021_V4_dWKGy1o.AGS,"ABBR",47,58

21-25179_DETS_01122021_V4_dWKGy1o.AGS,"UNIT",60,70

21-25179_DETS_01122021_V4_dWKGy1o.AGS,"TYPE",72,83

21-26216_DETS_16122021_V4_1s7EocQ.AGS,"PROJ",0,4

21-26216_DETS_16122021_V4_1s7EocQ.AGS,"LOCA",6,11

21-26216_DETS_16122021_V4_1s7EocQ.AGS,"SAMP",13,28

21-26216_DETS_16122021_V4_1s7EocQ.AGS,"GCHM",30,81

21-26216_DETS_16122021_V4_1s7EocQ.AGS,"ABBR",83,94

21-26216_DETS_16122021_V4_1s7EocQ.AGS,"UNIT",96,106

21-26216_DETS_16122021_V4_1s7EocQ.AGS,"TYPE",108,119

D1043-21-23122021_5wUDrl8.ags,"PROJ",0,4

D1043-21-23122021_5wUDrl8.ags,"ABBR",6,27

D1043-21-23122021_5wUDrl8.ags,"TRAN",29,33

D1043-21-23122021_5wUDrl8.ags,"TYPE",35,56

D1043-21-23122021_5wUDrl8.ags,"UNIT",58,77

D1043-21-23122021_5wUDrl8.ags,"CONG",79,86

D1043-21-23122021_5wUDrl8.ags,"CONS",88,115

D1043-21-23122021_5wUDrl8.ags,"GRAG",117,171

D1043-21-23122021_5wUDrl8.ags,"GRAT",173,1535

D1043-21-23122021_5wUDrl8.ags,"LBSG",1537,1546

D1043-21-23122021_5wUDrl8.ags,"LBST",1548,1971

D1043-21-23122021_5wUDrl8.ags,"LLPL",1973,2025

D1043-21-23122021_5wUDrl8.ags,"LNMC",2027,2079

D1043-21-23122021_5wUDrl8.ags,"LOCA",2081,2096

D1043-21-23122021_5wUDrl8.ags,"PTST",2098,2103

D1043-21-23122021_5wUDrl8.ags,"SAMP",2105,2311

D1043-21-23122021_5wUDrl8.ags,"TREG",2313,2320

D1043-21-23122021_5wUDrl8.ags,"TRET",2322,2329

D1043-21-23122021_5wUDrl8.ags,"TRIG",2331,2380

D1043-21-23122021_5wUDrl8.ags,"TRIT",2382,2431

