file_name,group_name,line_start,line_end
21-24889_DETS_29112021_V4_k3H2kSJ.AGS,"PROJ",0,4

21-24889_DETS_29112021_V4_k3H2kSJ.AGS,"LOCA",6,14

21-24889_DETS_29112021_V4_k3H2kSJ.AGS,"SAMP",16,31

21-24889_DETS_29112021_V4_k3H2kSJ.AGS,"GCHM",33,76

21-24889_DETS_29112021_V4_k3H2kSJ.AGS,"ABBR",78,89

21-24889_DETS_29112021_V4_k3H2kSJ.AGS,"UNIT",91,101

21-24889_DETS_29112021_V4_k3H2kSJ.AGS,"TYPE",103,114

21-25178_DETS_01122021_V4_PiScjyc.AGS,"PROJ",0,4

21-25178_DETS_01122021_V4_PiScjyc.AGS,"LOCA",6,14

21-25178_DETS_01122021_V4_PiScjyc.AGS,"SAMP",16,25

21-25178_DETS_01122021_V4_PiScjyc.AGS,"GCHM",27,46

21-25178_DETS_01122021_V4_PiScjyc.AGS,"ABBR",48,59

21-25178_DETS_01122021_V4_PiScjyc.AGS,"UNIT",61,71

21-25178_DETS_01122021_V4_PiScjyc.AGS,"TYPE",73,84

21-25179_DETS_01122021_V4_7488Mau.AGS,"PROJ",0,4

21-25179_DETS_01122021_V4_7488Mau.AGS,"LOCA",6,10

21-25179_DETS_01122021_V4_7488Mau.AGS,"SAMP",12,20

21-25179_DETS_01122021_V4_7488Mau.AGS,"GCHM",22,45

21-25179_DETS_01122021_V4_7488Mau.AGS,"ABBR",47,58

21-25179_DETS_01122021_V4_7488Mau.AGS,"UNIT",60,70

21-25179_DETS_01122021_V4_7488Mau.AGS,"TYPE",72,83

21-26216_DETS_16122021_V4_HDvTMH4.AGS,"PROJ",0,4

21-26216_DETS_16122021_V4_HDvTMH4.AGS,"LOCA",6,11

21-26216_DETS_16122021_V4_HDvTMH4.AGS,"SAMP",13,28

21-26216_DETS_16122021_V4_HDvTMH4.AGS,"GCHM",30,81

21-26216_DETS_16122021_V4_HDvTMH4.AGS,"ABBR",83,94

21-26216_DETS_16122021_V4_HDvTMH4.AGS,"UNIT",96,106

21-26216_DETS_16122021_V4_HDvTMH4.AGS,"TYPE",108,119

D1043-21-23122021_WnAyPSR.ags,"PROJ",0,4

D1043-21-23122021_WnAyPSR.ags,"ABBR",6,27

D1043-21-23122021_WnAyPSR.ags,"TRAN",29,33

D1043-21-23122021_WnAyPSR.ags,"TYPE",35,56

D1043-21-23122021_WnAyPSR.ags,"UNIT",58,77

D1043-21-23122021_WnAyPSR.ags,"CONG",79,86

D1043-21-23122021_WnAyPSR.ags,"CONS",88,115

D1043-21-23122021_WnAyPSR.ags,"GRAG",117,171

D1043-21-23122021_WnAyPSR.ags,"GRAT",173,1535

D1043-21-23122021_WnAyPSR.ags,"LBSG",1537,1546

D1043-21-23122021_WnAyPSR.ags,"LBST",1548,1971

D1043-21-23122021_WnAyPSR.ags,"LLPL",1973,2025

D1043-21-23122021_WnAyPSR.ags,"LNMC",2027,2079

D1043-21-23122021_WnAyPSR.ags,"LOCA",2081,2096

D1043-21-23122021_WnAyPSR.ags,"PTST",2098,2103

D1043-21-23122021_WnAyPSR.ags,"SAMP",2105,2311

D1043-21-23122021_WnAyPSR.ags,"TREG",2313,2320

D1043-21-23122021_WnAyPSR.ags,"TRET",2322,2329

D1043-21-23122021_WnAyPSR.ags,"TRIG",2331,2380

D1043-21-23122021_WnAyPSR.ags,"TRIT",2382,2431

