file_name,group_name,line_start,line_end
21-24889_DETS_29112021_V4_50FaJSQ.AGS,"PROJ",0,4

21-24889_DETS_29112021_V4_50FaJSQ.AGS,"LOCA",6,14

21-24889_DETS_29112021_V4_50FaJSQ.AGS,"SAMP",16,31

21-24889_DETS_29112021_V4_50FaJSQ.AGS,"GCHM",33,76

21-24889_DETS_29112021_V4_50FaJSQ.AGS,"ABBR",78,89

21-24889_DETS_29112021_V4_50FaJSQ.AGS,"UNIT",91,101

21-24889_DETS_29112021_V4_50FaJSQ.AGS,"TYPE",103,114

21-25178_DETS_01122021_V4_O6MKQS9.AGS,"PROJ",0,4

21-25178_DETS_01122021_V4_O6MKQS9.AGS,"LOCA",6,14

21-25178_DETS_01122021_V4_O6MKQS9.AGS,"SAMP",16,25

21-25178_DETS_01122021_V4_O6MKQS9.AGS,"GCHM",27,46

21-25178_DETS_01122021_V4_O6MKQS9.AGS,"ABBR",48,59

21-25178_DETS_01122021_V4_O6MKQS9.AGS,"UNIT",61,71

21-25178_DETS_01122021_V4_O6MKQS9.AGS,"TYPE",73,84

21-25179_DETS_01122021_V4_gTZLGVH.AGS,"PROJ",0,4

21-25179_DETS_01122021_V4_gTZLGVH.AGS,"LOCA",6,10

21-25179_DETS_01122021_V4_gTZLGVH.AGS,"SAMP",12,20

21-25179_DETS_01122021_V4_gTZLGVH.AGS,"GCHM",22,45

21-25179_DETS_01122021_V4_gTZLGVH.AGS,"ABBR",47,58

21-25179_DETS_01122021_V4_gTZLGVH.AGS,"UNIT",60,70

21-25179_DETS_01122021_V4_gTZLGVH.AGS,"TYPE",72,83

21-26216_DETS_16122021_V4_P1g7qJw.AGS,"PROJ",0,4

21-26216_DETS_16122021_V4_P1g7qJw.AGS,"LOCA",6,11

21-26216_DETS_16122021_V4_P1g7qJw.AGS,"SAMP",13,28

21-26216_DETS_16122021_V4_P1g7qJw.AGS,"GCHM",30,81

21-26216_DETS_16122021_V4_P1g7qJw.AGS,"ABBR",83,94

21-26216_DETS_16122021_V4_P1g7qJw.AGS,"UNIT",96,106

21-26216_DETS_16122021_V4_P1g7qJw.AGS,"TYPE",108,119

