file_name,group_name,line_start,line_end
21-24889_DETS_29112021_V4_uKyQzJD.AGS,"PROJ",0,4
21-24889_DETS_29112021_V4_uKyQzJD.AGS,"LOCA",6,14
21-24889_DETS_29112021_V4_uKyQzJD.AGS,"SAMP",16,31
21-24889_DETS_29112021_V4_uKyQzJD.AGS,"GCHM",33,76
21-24889_DETS_29112021_V4_uKyQzJD.AGS,"ABBR",78,89
21-24889_DETS_29112021_V4_uKyQzJD.AGS,"UNIT",91,101
21-24889_DETS_29112021_V4_uKyQzJD.AGS,"TYPE",103,114
21-25178_DETS_01122021_V4_NhD3tB9.AGS,"PROJ",0,4
21-25178_DETS_01122021_V4_NhD3tB9.AGS,"LOCA",6,14
21-25178_DETS_01122021_V4_NhD3tB9.AGS,"SAMP",16,25
21-25178_DETS_01122021_V4_NhD3tB9.AGS,"GCHM",27,46
21-25178_DETS_01122021_V4_NhD3tB9.AGS,"ABBR",48,59
21-25178_DETS_01122021_V4_NhD3tB9.AGS,"UNIT",61,71
21-25178_DETS_01122021_V4_NhD3tB9.AGS,"TYPE",73,84
21-25179_DETS_01122021_V4_b5Bdudf.AGS,"PROJ",0,4
21-25179_DETS_01122021_V4_b5Bdudf.AGS,"LOCA",6,10
21-25179_DETS_01122021_V4_b5Bdudf.AGS,"SAMP",12,20
21-25179_DETS_01122021_V4_b5Bdudf.AGS,"GCHM",22,45
21-25179_DETS_01122021_V4_b5Bdudf.AGS,"ABBR",47,58
21-25179_DETS_01122021_V4_b5Bdudf.AGS,"UNIT",60,70
21-25179_DETS_01122021_V4_b5Bdudf.AGS,"TYPE",72,83
21-26216_DETS_16122021_V4_Yo9o8l7.AGS,"PROJ",0,4
21-26216_DETS_16122021_V4_Yo9o8l7.AGS,"LOCA",6,11
21-26216_DETS_16122021_V4_Yo9o8l7.AGS,"SAMP",13,28
21-26216_DETS_16122021_V4_Yo9o8l7.AGS,"GCHM",30,81
21-26216_DETS_16122021_V4_Yo9o8l7.AGS,"ABBR",83,94
21-26216_DETS_16122021_V4_Yo9o8l7.AGS,"UNIT",96,106
21-26216_DETS_16122021_V4_Yo9o8l7.AGS,"TYPE",108,119
D1043-21-23122021_nxpqQ16.ags,"PROJ",0,4
D1043-21-23122021_nxpqQ16.ags,"ABBR",6,27
D1043-21-23122021_nxpqQ16.ags,"TRAN",29,33
D1043-21-23122021_nxpqQ16.ags,"TYPE",35,56
D1043-21-23122021_nxpqQ16.ags,"UNIT",58,77
D1043-21-23122021_nxpqQ16.ags,"CONG",79,86
D1043-21-23122021_nxpqQ16.ags,"CONS",88,115
D1043-21-23122021_nxpqQ16.ags,"GRAG",117,171
D1043-21-23122021_nxpqQ16.ags,"GRAT",173,1535
D1043-21-23122021_nxpqQ16.ags,"LBSG",1537,1546
D1043-21-23122021_nxpqQ16.ags,"LBST",1548,1971
D1043-21-23122021_nxpqQ16.ags,"LLPL",1973,2025
D1043-21-23122021_nxpqQ16.ags,"LNMC",2027,2079
D1043-21-23122021_nxpqQ16.ags,"LOCA",2081,2096
D1043-21-23122021_nxpqQ16.ags,"PTST",2098,2103
D1043-21-23122021_nxpqQ16.ags,"SAMP",2105,2311
D1043-21-23122021_nxpqQ16.ags,"TREG",2313,2320
D1043-21-23122021_nxpqQ16.ags,"TRET",2322,2329
D1043-21-23122021_nxpqQ16.ags,"TRIG",2331,2380
D1043-21-23122021_nxpqQ16.ags,"TRIT",2382,2431
