file_name,group_name,line_start,line_end
21-24889_DETS_29112021_V4_NJYaIBN.AGS,"PROJ",0,4
21-24889_DETS_29112021_V4_NJYaIBN.AGS,"LOCA",6,14
21-24889_DETS_29112021_V4_NJYaIBN.AGS,"SAMP",16,31
21-24889_DETS_29112021_V4_NJYaIBN.AGS,"GCHM",33,76
21-24889_DETS_29112021_V4_NJYaIBN.AGS,"ABBR",78,89
21-24889_DETS_29112021_V4_NJYaIBN.AGS,"UNIT",91,101
21-24889_DETS_29112021_V4_NJYaIBN.AGS,"TYPE",103,114
21-25178_DETS_01122021_V4_LwMeqCd.AGS,"PROJ",0,4
21-25178_DETS_01122021_V4_LwMeqCd.AGS,"LOCA",6,14
21-25178_DETS_01122021_V4_LwMeqCd.AGS,"SAMP",16,25
21-25178_DETS_01122021_V4_LwMeqCd.AGS,"GCHM",27,46
21-25178_DETS_01122021_V4_LwMeqCd.AGS,"ABBR",48,59
21-25178_DETS_01122021_V4_LwMeqCd.AGS,"UNIT",61,71
21-25178_DETS_01122021_V4_LwMeqCd.AGS,"TYPE",73,84
21-25179_DETS_01122021_V4_65zwuBD.AGS,"PROJ",0,4
21-25179_DETS_01122021_V4_65zwuBD.AGS,"LOCA",6,10
21-25179_DETS_01122021_V4_65zwuBD.AGS,"SAMP",12,20
21-25179_DETS_01122021_V4_65zwuBD.AGS,"GCHM",22,45
21-25179_DETS_01122021_V4_65zwuBD.AGS,"ABBR",47,58
21-25179_DETS_01122021_V4_65zwuBD.AGS,"UNIT",60,70
21-25179_DETS_01122021_V4_65zwuBD.AGS,"TYPE",72,83
21-26216_DETS_16122021_V4_IoeA4FJ.AGS,"PROJ",0,4
21-26216_DETS_16122021_V4_IoeA4FJ.AGS,"LOCA",6,11
21-26216_DETS_16122021_V4_IoeA4FJ.AGS,"SAMP",13,28
21-26216_DETS_16122021_V4_IoeA4FJ.AGS,"GCHM",30,81
21-26216_DETS_16122021_V4_IoeA4FJ.AGS,"ABBR",83,94
21-26216_DETS_16122021_V4_IoeA4FJ.AGS,"UNIT",96,106
21-26216_DETS_16122021_V4_IoeA4FJ.AGS,"TYPE",108,119
