file_name,group_name,line_start,line_end
21-24889_DETS_29112021_V4_7AvOm72.AGS,"PROJ",0,4
21-24889_DETS_29112021_V4_7AvOm72.AGS,"LOCA",6,14
21-24889_DETS_29112021_V4_7AvOm72.AGS,"SAMP",16,31
21-24889_DETS_29112021_V4_7AvOm72.AGS,"GCHM",33,76
21-24889_DETS_29112021_V4_7AvOm72.AGS,"ABBR",78,89
21-24889_DETS_29112021_V4_7AvOm72.AGS,"UNIT",91,101
21-24889_DETS_29112021_V4_7AvOm72.AGS,"TYPE",103,114
21-25178_DETS_01122021_V4_0qhwEHa.AGS,"PROJ",0,4
21-25178_DETS_01122021_V4_0qhwEHa.AGS,"LOCA",6,14
21-25178_DETS_01122021_V4_0qhwEHa.AGS,"SAMP",16,25
21-25178_DETS_01122021_V4_0qhwEHa.AGS,"GCHM",27,46
21-25178_DETS_01122021_V4_0qhwEHa.AGS,"ABBR",48,59
21-25178_DETS_01122021_V4_0qhwEHa.AGS,"UNIT",61,71
21-25178_DETS_01122021_V4_0qhwEHa.AGS,"TYPE",73,84
21-25179_DETS_01122021_V4_TN7R3bC.AGS,"PROJ",0,4
21-25179_DETS_01122021_V4_TN7R3bC.AGS,"LOCA",6,10
21-25179_DETS_01122021_V4_TN7R3bC.AGS,"SAMP",12,20
21-25179_DETS_01122021_V4_TN7R3bC.AGS,"GCHM",22,45
21-25179_DETS_01122021_V4_TN7R3bC.AGS,"ABBR",47,58
21-25179_DETS_01122021_V4_TN7R3bC.AGS,"UNIT",60,70
21-25179_DETS_01122021_V4_TN7R3bC.AGS,"TYPE",72,83
21-26216_DETS_16122021_V4_12UoMmW.AGS,"PROJ",0,4
21-26216_DETS_16122021_V4_12UoMmW.AGS,"LOCA",6,11
21-26216_DETS_16122021_V4_12UoMmW.AGS,"SAMP",13,28
21-26216_DETS_16122021_V4_12UoMmW.AGS,"GCHM",30,81
21-26216_DETS_16122021_V4_12UoMmW.AGS,"ABBR",83,94
21-26216_DETS_16122021_V4_12UoMmW.AGS,"UNIT",96,106
21-26216_DETS_16122021_V4_12UoMmW.AGS,"TYPE",108,119
