file_name,group_name,pointid,count
21-24889_DETS_29112021_V4_7AvOm72.AGS,LOCA,BH-3,1
21-24889_DETS_29112021_V4_7AvOm72.AGS,LOCA,BH10D,1
21-24889_DETS_29112021_V4_7AvOm72.AGS,LOCA,BH3D,1
21-24889_DETS_29112021_V4_7AvOm72.AGS,LOCA,BH6D,1
21-24889_DETS_29112021_V4_7AvOm72.AGS,LOCA,BH7D,1
21-24889_DETS_29112021_V4_7AvOm72.AGS,SAMP,BH-3,1
21-24889_DETS_29112021_V4_7AvOm72.AGS,SAMP,BH10D,6
21-24889_DETS_29112021_V4_7AvOm72.AGS,SAMP,BH3D,1
21-24889_DETS_29112021_V4_7AvOm72.AGS,SAMP,BH6D,2
21-24889_DETS_29112021_V4_7AvOm72.AGS,SAMP,BH7D,2
21-24889_DETS_29112021_V4_7AvOm72.AGS,GCHM,BH10D,20
21-24889_DETS_29112021_V4_7AvOm72.AGS,GCHM,BH3D,4
21-24889_DETS_29112021_V4_7AvOm72.AGS,GCHM,BH-3,4
21-24889_DETS_29112021_V4_7AvOm72.AGS,GCHM,BH6D,6
21-24889_DETS_29112021_V4_7AvOm72.AGS,GCHM,BH7D,6
21-25178_DETS_01122021_V4_0qhwEHa.AGS,LOCA,DCP10,1
21-25178_DETS_01122021_V4_0qhwEHa.AGS,LOCA,DCP1,1
21-25178_DETS_01122021_V4_0qhwEHa.AGS,LOCA,DCP7,1
21-25178_DETS_01122021_V4_0qhwEHa.AGS,LOCA,DCP8,1
21-25178_DETS_01122021_V4_0qhwEHa.AGS,LOCA,DCP9,1
21-25178_DETS_01122021_V4_0qhwEHa.AGS,SAMP,DCP1,1
21-25178_DETS_01122021_V4_0qhwEHa.AGS,SAMP,DCP10,1
21-25178_DETS_01122021_V4_0qhwEHa.AGS,SAMP,DCP7,2
21-25178_DETS_01122021_V4_0qhwEHa.AGS,SAMP,DCP8,1
21-25178_DETS_01122021_V4_0qhwEHa.AGS,SAMP,DCP9,1
21-25178_DETS_01122021_V4_0qhwEHa.AGS,GCHM,DCP8,4
21-25178_DETS_01122021_V4_0qhwEHa.AGS,GCHM,DCP7,6
21-25178_DETS_01122021_V4_0qhwEHa.AGS,GCHM,DCP1,2
21-25178_DETS_01122021_V4_0qhwEHa.AGS,GCHM,DCP10,2
21-25178_DETS_01122021_V4_0qhwEHa.AGS,GCHM,DCP9,2
21-25179_DETS_01122021_V4_TN7R3bC.AGS,LOCA,BH06-D,1
21-25179_DETS_01122021_V4_TN7R3bC.AGS,SAMP,BH06-D,5
21-25179_DETS_01122021_V4_TN7R3bC.AGS,GCHM,BH06-D,20
21-26216_DETS_16122021_V4_12UoMmW.AGS,LOCA,BH-03D,1
21-26216_DETS_16122021_V4_12UoMmW.AGS,LOCA,BH-10D,1
21-26216_DETS_16122021_V4_12UoMmW.AGS,SAMP,BH-03D,7
21-26216_DETS_16122021_V4_12UoMmW.AGS,SAMP,BH-10D,5
21-26216_DETS_16122021_V4_12UoMmW.AGS,GCHM,BH-03D,28
21-26216_DETS_16122021_V4_12UoMmW.AGS,GCHM,BH-10D,20
