file_name,group_name,line_start,line_end
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_nhJci01.ags,"PROJ",0,4
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_nhJci01.ags,"LOCA",6,53
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_nhJci01.ags,"ERES",55,90
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_nhJci01.ags,"MONG",92,145
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_nhJci01.ags,"MOND",147,1533
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_nhJci01.ags,"SAMP",1535,1554
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_nhJci01.ags,"TRAN",1556,1560
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_nhJci01.ags,"ABBR",1562,1586
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_nhJci01.ags,"UNIT",1588,1607
MONAGS-X-X-R20-X-X-X.X-X.X-0001_1_of_4_945GjeN.ags,"PROJ",0,4
MONAGS-X-X-R20-X-X-X.X-X.X-0001_1_of_4_945GjeN.ags,"LOCA",7,87
MONAGS-X-X-R20-X-X-X.X-X.X-0001_1_of_4_945GjeN.ags,"ERES",89,3651
MONAGS-X-X-R20-X-X-X.X-X.X-0001_1_of_4_945GjeN.ags,"MONG",3653,3799
MONAGS-X-X-R20-X-X-X.X-X.X-0001_1_of_4_945GjeN.ags,"MOND",3801,292684
MONAGS-X-X-R20-X-X-X.X-X.X-0001_1_of_4_945GjeN.ags,"SAMP",292686,292712
MONAGS-X-X-R20-X-X-X.X-X.X-0001_1_of_4_945GjeN.ags,"TRAN",292714,292718
MONAGS-X-X-R20-X-X-X.X-X.X-0001_1_of_4_945GjeN.ags,"TYPE",292720,292736
MONAGS-X-X-R20-X-X-X.X-X.X-0001_1_of_4_945GjeN.ags,"ABBR",292738,292971
MONAGS-X-X-R20-X-X-X.X-X.X-0001_2_of_4_QACtwIm.ags,"PROJ",0,4
MONAGS-X-X-R20-X-X-X.X-X.X-0001_2_of_4_QACtwIm.ags,"LOCA",6,43
MONAGS-X-X-R20-X-X-X.X-X.X-0001_2_of_4_QACtwIm.ags,"ERES",45,1263
MONAGS-X-X-R20-X-X-X.X-X.X-0001_2_of_4_QACtwIm.ags,"MONG",1265,1313
MONAGS-X-X-R20-X-X-X.X-X.X-0001_2_of_4_QACtwIm.ags,"MOND",1315,282216
MONAGS-X-X-R20-X-X-X.X-X.X-0001_2_of_4_QACtwIm.ags,"SAMP",282218,282235
MONAGS-X-X-R20-X-X-X.X-X.X-0001_2_of_4_QACtwIm.ags,"TRAN",282237,282241
MONAGS-X-X-R20-X-X-X.X-X.X-0001_2_of_4_QACtwIm.ags,"TYPE",282243,282259
MONAGS-X-X-R20-X-X-X.X-X.X-0001_2_of_4_QACtwIm.ags,"ABBR",282261,282496
MONAGS-X-X-R20-X-X-X.X-X.X-0001_3_of_4_yqwswiX.ags,"PROJ",0,4
MONAGS-X-X-R20-X-X-X.X-X.X-0001_3_of_4_yqwswiX.ags,"LOCA",6,119
MONAGS-X-X-R20-X-X-X.X-X.X-0001_3_of_4_yqwswiX.ags,"ERES",121,8216
MONAGS-X-X-R20-X-X-X.X-X.X-0001_3_of_4_yqwswiX.ags,"MONG",8218,8316
MONAGS-X-X-R20-X-X-X.X-X.X-0001_3_of_4_yqwswiX.ags,"MOND",8318,262490
MONAGS-X-X-R20-X-X-X.X-X.X-0001_3_of_4_yqwswiX.ags,"SAMP",262492,262587
MONAGS-X-X-R20-X-X-X.X-X.X-0001_3_of_4_yqwswiX.ags,"TRAN",262589,262593
MONAGS-X-X-R20-X-X-X.X-X.X-0001_3_of_4_yqwswiX.ags,"TYPE",262595,262611
MONAGS-X-X-R20-X-X-X.X-X.X-0001_3_of_4_yqwswiX.ags,"ABBR",262613,262869
MONAGS-X-X-R20-X-X-X.X-X.X-0001_4_of_4_9ZuWFLp.ags,"PROJ",0,4
MONAGS-X-X-R20-X-X-X.X-X.X-0001_4_of_4_9ZuWFLp.ags,"LOCA",6,58
MONAGS-X-X-R20-X-X-X.X-X.X-0001_4_of_4_9ZuWFLp.ags,"ERES",60,6651
MONAGS-X-X-R20-X-X-X.X-X.X-0001_4_of_4_9ZuWFLp.ags,"MONG",6653,6707
MONAGS-X-X-R20-X-X-X.X-X.X-0001_4_of_4_9ZuWFLp.ags,"MOND",6709,146202
MONAGS-X-X-R20-X-X-X.X-X.X-0001_4_of_4_9ZuWFLp.ags,"SAMP",146204,146276
MONAGS-X-X-R20-X-X-X.X-X.X-0001_4_of_4_9ZuWFLp.ags,"TRAN",146278,146282
MONAGS-X-X-R20-X-X-X.X-X.X-0001_4_of_4_9ZuWFLp.ags,"TYPE",146284,146300
MONAGS-X-X-R20-X-X-X.X-X.X-0001_4_of_4_9ZuWFLp.ags,"ABBR",146302,146634
