file_name,group_name,pointid,count
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH10,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH11,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH12,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH13,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH15,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH16,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH17,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH18,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH19,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH20,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH21,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH3,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH38,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH39,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH4,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH40,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH6,1
MONAGS-SU-X-R20-X-X-X.X-X.X-0001_Csm5cZv.ags,LOCA,CG-BH7,1
