file_name,group_name,line_start,line_end
MONAGS-X-X-R23-X-X-X.X-X.X-0001_1_of_4_nkdbH2S.ags,"PROJ",0,4
MONAGS-X-X-R23-X-X-X.X-X.X-0001_1_of_4_nkdbH2S.ags,"LOCA",6,48
MONAGS-X-X-R23-X-X-X.X-X.X-0001_1_of_4_nkdbH2S.ags,"ERES",50,1351
MONAGS-X-X-R23-X-X-X.X-X.X-0001_1_of_4_nkdbH2S.ags,"MONG",1353,1430
MONAGS-X-X-R23-X-X-X.X-X.X-0001_1_of_4_nkdbH2S.ags,"MOND",1432,270151
MONAGS-X-X-R23-X-X-X.X-X.X-0001_1_of_4_nkdbH2S.ags,"SAMP",270153,270164
MONAGS-X-X-R23-X-X-X.X-X.X-0001_1_of_4_nkdbH2S.ags,"TRAN",270166,270170
MONAGS-X-X-R23-X-X-X.X-X.X-0001_1_of_4_nkdbH2S.ags,"TYPE",270172,270188
MONAGS-X-X-R23-X-X-X.X-X.X-0001_1_of_4_nkdbH2S.ags,"ABBR",270190,270756
MONAGS-X-X-R23-X-X-X.X-X.X-0001_2_of_4_rqaxHSr.ags,"PROJ",0,15
MONAGS-X-X-R23-X-X-X.X-X.X-0001_2_of_4_rqaxHSr.ags,"LOCA",17,55
MONAGS-X-X-R23-X-X-X.X-X.X-0001_2_of_4_rqaxHSr.ags,"ERES",57,2469
MONAGS-X-X-R23-X-X-X.X-X.X-0001_2_of_4_rqaxHSr.ags,"MONG",2471,2541
MONAGS-X-X-R23-X-X-X.X-X.X-0001_2_of_4_rqaxHSr.ags,"MOND",2543,277494
MONAGS-X-X-R23-X-X-X.X-X.X-0001_2_of_4_rqaxHSr.ags,"SAMP",277496,277512
MONAGS-X-X-R23-X-X-X.X-X.X-0001_2_of_4_rqaxHSr.ags,"ABBR",277514,278078
MONAGS-X-X-R23-X-X-X.X-X.X-0001_3_of_4_6RNyqwg.ags,"PROJ",0,15
MONAGS-X-X-R23-X-X-X.X-X.X-0001_3_of_4_6RNyqwg.ags,"LOCA",17,139
MONAGS-X-X-R23-X-X-X.X-X.X-0001_3_of_4_6RNyqwg.ags,"ERES",141,7624
MONAGS-X-X-R23-X-X-X.X-X.X-0001_3_of_4_6RNyqwg.ags,"MONG",7626,7754
MONAGS-X-X-R23-X-X-X.X-X.X-0001_3_of_4_6RNyqwg.ags,"MOND",7756,257601
MONAGS-X-X-R23-X-X-X.X-X.X-0001_3_of_4_6RNyqwg.ags,"SAMP",257603,257706
MONAGS-X-X-R23-X-X-X.X-X.X-0001_3_of_4_6RNyqwg.ags,"ABBR",257708,258272
MONAGS-X-X-R23-X-X-X.X-X.X-0001_4_of_4_tivRTOe.ags,"PROJ",0,15
MONAGS-X-X-R23-X-X-X.X-X.X-0001_4_of_4_tivRTOe.ags,"LOCA",17,89
MONAGS-X-X-R23-X-X-X.X-X.X-0001_4_of_4_tivRTOe.ags,"ERES",91,8052
MONAGS-X-X-R23-X-X-X.X-X.X-0001_4_of_4_tivRTOe.ags,"MONG",8054,8139
MONAGS-X-X-R23-X-X-X.X-X.X-0001_4_of_4_tivRTOe.ags,"MOND",8141,233313
MONAGS-X-X-R23-X-X-X.X-X.X-0001_4_of_4_tivRTOe.ags,"SAMP",233315,233393
MONAGS-X-X-R23-X-X-X.X-X.X-0001_4_of_4_tivRTOe.ags,"ABBR",233395,233959
